Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,Series_Code,Series_Label,Series_Hidden,Series_Note,Series_Order,M6014_Value,M6014_Footnote_Code,M6014_Footnote_Text,M6014_MissingValue_Code,M6014_MissingValue_Label,M5025_Value,M5025_Footnote_Code,M5025_Footnote_Text,M5025_MissingValue_Code,M5025_MissingValue_Label,M5015_Value,M5015_Footnote_Code,M5015_Footnote_Text,M5015_MissingValue_Code,M5015_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2005,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.9492450875211502,0,,,,-15.97752493498866,0,,,,-97.3961759450478,0,,,,-6614157925.69576,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2005,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,0.23185163359682012,0,,,,22.083958491711257,0,,,,60.36636768036232,0,,,,9142016030.832241,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2005,14,"Balance",False,,1,3503,"Total trade in goods",False,,24,0.4853631577533205,0,,,,38.061483426699915,0,,,,188.62355661690955,0,,,,15756173956.528,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2006,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.6700023898657654,0,,,,-10.275491090763849,0,,,,-80.23969234195171,0,,,,-6026951601.456,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2006,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,0.343659782158668,0,,,,29.08199053218764,0,,,,104.72001343722215,0,,,,17057651830.29,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2006,14,"Balance",False,,1,3503,"Total trade in goods",False,,24,0.5680284947121961,0,,,,39.35748162295149,0,,,,262.99350200599145,0,,,,23084603431.746002,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.9520282788356731,0,,,,-16.885133574718157,0,,,,-97.54246791993502,0,,,,-12332533832.58,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,0.2591434607965847,0,,,,25.195433306383663,0,,,,69.95779805769718,0,,,,18402195771.95,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2007,14,"Balance",False,,1,3503,"Total trade in goods",False,,24,0.529382870382919,0,,,,42.080566881101824,0,,,,224.97390641673115,0,,,,30734729604.53,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.9706748753556176,0,,,,-22.07693001397697,0,,,,-98.51192477201037,0,,,,-21809894703.129997,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,0.19672962110483666,0,,,,21.380471605556895,0,,,,48.9821674678016,0,,,,21121860427.389,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2008,14,"Balance",False,,1,3503,"Total trade in goods",False,,24,0.5056974516778969,0,,,,43.45740161953386,0,,,,204.6104975159338,0,,,,42931755130.519,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.9370268577282497,0,,,,-22.698945546165927,0,,,,-96.7489793948647,0,,,,-18546213352.28,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,-0.00454131937719081,0,,,,-0.46288785542706107,0,,,,-0.9041578060734026,0,,,,-378203335.8100052,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2009,14,"Balance",False,,1,3503,"Total trade in goods",False,,24,0.2861650103993958,0,,,,22.23605769073887,0,,,,80.1767956371842,0,,,,18168010016.469997,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.9126136631221826,0,,,,-18.73162124239562,0,,,,-95.43105131147257,0,,,,-17897487050.93,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,0.1845281829370998,0,,,,16.777629501951417,0,,,,45.25678976907341,0,,,,16030508137.589996,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,14,"Balance",False,,1,3503,"Total trade in goods",False,,24,0.5044176629156797,0,,,,35.50925074434703,0,,,,203.56563386957677,0,,,,33927995188.519997,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,14,"Balance",False,,1,2102,"Total trade in services",False,,22,-0.9399840216078457,0,,,,-18.269476038214535,0,,,,-96.9063673863451,0,,,,-22937625817.92035,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,14,"Balance",False,,1,2106,"Total trade in goods and services",False,,23,0.21568716987236708,0,,,,19.23050278848951,0,,,,55.000291105085665,0,,,,24144210612.837852,0,,,
