Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,ShipType_Code,ShipType_Label,ShipType_Level,ShipType_Hidden,ShipType_Expand,ShipType_Note,ShipType_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M2300_Value,M2300_Footnote_Code,M2300_Footnote_Text,M2300_MissingValue_Code,M2300_MissingValue_Label,M5041_Value,M5041_Footnote_Code,M5041_Footnote_Text,M5041_MissingValue_Code,M5041_MissingValue_Label,M6900_Value,M6900_Footnote_Code,M6900_Footnote_Text,M6900_MissingValue_Code,M6900_MissingValue_Label,M7000_Value,M7000_Footnote_Code,M7000_Footnote_Text,M7000_MissingValue_Code,M7000_MissingValue_Label,M3762_Value,M3762_Footnote_Code,M3762_Footnote_Text,M3762_MissingValue_Code,M3762_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,1984,3,"General cargo",1,False,True,,4,0.11196548021858406,0,,,,125248,0,,,,93.8777957666247,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1984,5,"Other types of ships",1,False,True,,6,0.013432618496595267,0,,,,5132,0,,,,3.846615098638844,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1985,0,"Total fleet",0,False,True,,1,0.020737262072975653,0,,,,138555,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1985,1,"Oil tankers",1,False,True,,2,0.0010654470166657076,0,,,,3036,0,,,,2.1911876150265237,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1985,3,"General cargo",1,False,True,,4,0.1167970750328855,0,,,,126501,0,,,,91.30020569448956,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1985,5,"Other types of ships",1,False,True,,6,0.023063342865056426,0,,,,9018,0,,,,6.508606690483923,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1986,0,"Total fleet",0,False,True,,1,0.019474965142523556,0,,,,127431,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1986,1,"Oil tankers",1,False,True,,2,0.0011724843413866582,0,,,,3036,0,,,,2.3824658050238954,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1986,3,"General cargo",1,False,True,,4,0.10863541410382227,0,,,,112895,0,,,,88.59304250927953,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1986,5,"Other types of ships",1,False,True,,6,0.025447724498774426,0,,,,11500,0,,,,9.024491685696573,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1987,0,"Total fleet",0,False,True,,1,0.020155549609093833,0,,,,127431,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1987,1,"Oil tankers",1,False,True,,2,0.0012748560823534858,0,,,,3036,0,,,,2.3824658050238954,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1987,3,"General cargo",1,False,True,,4,0.11264495186230558,0,,,,112895,0,,,,88.59304250927953,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1987,5,"Other types of ships",1,False,True,,6,0.024613015970679775,0,,,,11500,0,,,,9.024491685696573,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1988,0,"Total fleet",0,False,True,,1,0.02004525217438238,0,,,,125292,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1988,1,"Oil tankers",1,False,True,,2,0.001292418799457448,0,,,,3036,0,,,,2.423139546020496,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1988,3,"General cargo",1,False,True,,4,0.11320432072614044,0,,,,109933,0,,,,87.74143600549117,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1988,5,"Other types of ships",1,False,True,,6,0.02573807689801347,0,,,,12323,0,,,,9.83542444848833,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1989,0,"Total fleet",0,False,True,,1,0.019639967017124754,0,,,,121912,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1989,1,"Oil tankers",1,False,True,,2,0.001299610011692124,0,,,,3036,0,,,,2.4903208871973224,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1989,3,"General cargo",1,False,True,,4,0.11253503239664095,0,,,,105553,0,,,,86.58130454754249,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1989,5,"Other types of ships",1,False,True,,6,0.027412029718730517,0,,,,13323,0,,,,10.928374565260187,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1990,0,"Total fleet",0,False,True,,1,0.019365817110493098,0,,,,122000,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1990,1,"Oil tankers",1,False,True,,2,0.0008482303793710371,0,,,,2000,0,,,,1.639344262295082,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1990,3,"General cargo",1,False,True,,4,0.10551778372836138,0,,,,106000,0,,,,86.88524590163934,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1990,5,"Other types of ships",1,False,True,,6,0.029307096504082062,0,,,,14000,0,,,,11.475409836065573,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1991,0,"Total fleet",0,False,True,,1,0.018732284939549995,0,,,,122000,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1991,1,"Oil tankers",1,False,True,,2,0.0008169333954202713,0,,,,2000,0,,,,1.639344262295082,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1991,3,"General cargo",1,False,True,,4,0.10478997933580782,0,,,,107000,0,,,,87.70491803278688,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1991,5,"Other types of ships",1,False,True,,6,0.025632936351447276,0,,,,13000,0,,,,10.655737704918032,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1992,0,"Total fleet",0,False,True,,1,0.01820331610812031,0,,,,122767,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1992,1,"Oil tankers",1,False,True,,2,0.0008941659613799004,0,,,,2286,0,,,,1.8620639096825695,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1992,3,"General cargo",1,False,True,,4,0.10364639349945676,0,,,,106685,0,,,,86.90038854089454,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1992,5,"Other types of ships",1,False,True,,6,0.02630958605863502,0,,,,13796,0,,,,11.23754754942289,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1993,0,"Total fleet",0,False,True,,1,0.018062016896559768,0,,,,123479,0,,,,100,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,1993,1,"Oil tankers",1,False,True,,2,0.0008755886035225871,0,,,,2286,0,,,,1.8513269462823638,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected",,,,..,"No value reported or collected"
