"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_X","Status in employment (Aggregate): Workers not classifiable by status","2024",94.176,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_TOTAL","Status in employment (Aggregate): Total","2024",6490.371,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_EES","Status in employment (Aggregate): Employees","2024",1058.299,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_SLF","Status in employment (Aggregate): Self-employed","2024",5305.262,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_X","Status in employment (Aggregate): Workers not classifiable by status","2024",126.811,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_TOTAL","Status in employment (ICSE-93): Total","2024",12697.454,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_1","Status in employment (ICSE-93): 1. Employees","2024",3350.072,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_2","Status in employment (ICSE-93): 2. Employers","2024",1481.024,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_3","Status in employment (ICSE-93): 3. Own-account workers","2024",5608.23,,,"C2:6257","Nonstandard status in employment group: Including contributing family workers in subsistence farming",,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_4","Status in employment (ICSE-93): 4. Members of producers' cooperatives","2024",11.596,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_5","Status in employment (ICSE-93): 5. Contributing family workers","2024",2025.546,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_6","Status in employment (ICSE-93): 6. Workers not classifiable by status","2024",220.986,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_TOTAL","Status in employment (ICSE-93): Total","2024",6207.083,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_1","Status in employment (ICSE-93): 1. Employees","2024",2291.774,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_2","Status in employment (ICSE-93): 2. Employers","2024",1011.499,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_3","Status in employment (ICSE-93): 3. Own-account workers","2024",2015.033,,,"C2:6257","Nonstandard status in employment group: Including contributing family workers in subsistence farming",,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_4","Status in employment (ICSE-93): 4. Members of producers' cooperatives","2024",10.109,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_5","Status in employment (ICSE-93): 5. Contributing family workers","2024",784.493,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_ICSE93_6","Status in employment (ICSE-93): 6. Workers not classifiable by status","2024",94.176,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_TOTAL","Status in employment (ICSE-93): Total","2024",6490.371,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_1","Status in employment (ICSE-93): 1. Employees","2024",1058.299,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_2","Status in employment (ICSE-93): 2. Employers","2024",469.525,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_3","Status in employment (ICSE-93): 3. Own-account workers","2024",3593.197,,,"C2:6257","Nonstandard status in employment group: Including contributing family workers in subsistence farming",,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_4","Status in employment (ICSE-93): 4. Members of producers' cooperatives","2024",1.487,"U","Unreliable",,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_5","Status in employment (ICSE-93): 5. Contributing family workers","2024",1241.052,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_ICSE93_6","Status in employment (ICSE-93): 6. Workers not classifiable by status","2024",126.811,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_TOTAL","Status in employment (Aggregate): Total","2023",12126.404,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_EES","Status in employment (Aggregate): Employees","2023",2936.413,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_SLF","Status in employment (Aggregate): Self-employed","2023",8797.157,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_AGGREGATE_X","Status in employment (Aggregate): Workers not classifiable by status","2023",392.834,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_TOTAL","Status in employment (Aggregate): Total","2023",5917.099,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_EES","Status in employment (Aggregate): Employees","2023",1937.531,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_SLF","Status in employment (Aggregate): Self-employed","2023",3833.023,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_M","Male","STE_AGGREGATE_X","Status in employment (Aggregate): Workers not classifiable by status","2023",146.545,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_TOTAL","Status in employment (Aggregate): Total","2023",6209.304,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_EES","Status in employment (Aggregate): Employees","2023",998.882,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_SLF","Status in employment (Aggregate): Self-employed","2023",4964.134,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_F","Female","STE_AGGREGATE_X","Status in employment (Aggregate): Workers not classifiable by status","2023",246.289,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)","SEX_T","Total","STE_ICSE93_TOTAL","Status in employment (ICSE-93): Total","2023",12126.404,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
