Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Component_Code,Component_Label,Component_Level,Component_Hidden,Component_Expand,Component_Note,Component_Order,Year,M5025_Value,M5025_Footnote_Code,M5025_Footnote_Text,M5025_MissingValue_Code,M5025_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label,M0951_Value,M0951_Footnote_Code,M0951_Footnote_Text,M0951_MissingValue_Code,M0951_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2004,100,0,,,,26997978058.174473,0,,,,33361830275.084835,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2005,100,0,,,,41396636541.69383,0,,,,38084123131.92633,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2006,100,0,,,,58653659939.16672,0,,,,42593975632.76764,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2007,100,0,,,,73037822164.73138,0,,,,48132337793.945625,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2008,100,0,,,,98790432769.96434,0,,,,53324197893.969955,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2009,100,0,,,,81705175751.71078,0,,,,54388329773.67952,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2010,100,0,,,,95546919400.77399,0,,,,57267466147.04941,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2011,100,0,,,,125551634704.47305,0,,,,59325584204.97332,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2012,100,0,,,,143572906894.37262,0,,,,64370111504.67852,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,00,"Gross domestic product (GDP)",0,False,True,,1,2013,100,0,,,,153761137826.245,0,,,,67513343506.32501,0,,,
