Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Direction_Code,Direction_Label,Direction_Hidden,Direction_Note,Direction_Order,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,1995,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.08194380806423901,0,,,,2920850000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1995,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,2.2288494115610305E-06,0,,,,89000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1996,1,"Inward",False,,1,08,"Flow",False,,1,0.04598773306224534,0,,,,180630000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1996,2,"Outward",False,,2,08,"Flow",False,,1,-0.003148975029648256,0,,,,-12420960,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1996,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.07502382217251694,0,,,,3101480000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1996,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,,,,***,"Negative accumulation of flows; Value included in regional and global totals",,,,***,"Negative accumulation of flows; Value included in regional and global totals"
024,"Angola",True,1940,2102,5,True,True,,38,1997,1,"Inward",False,,1,08,"Flow",False,,1,0.08564827462003996,0,,,,411650000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1997,2,"Outward",False,,2,08,"Flow",False,,1,0.0008539748538319973,0,,,,3973420,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1997,1,"Inward",False,,1,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,0.07443409350102077,0,,,,3513130000,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,1997,2,"Outward",False,,2,09,"Stock",False,"FDI stock is the value of the share of capital and reserves (including retained profits) attributable to the parent enterprise, plus the net indebtedness of affiliates to the parent enterprises.
It is approximated by the accumulated value of past FDI flows.",2,,,,***,"Negative accumulation of flows; Value included in regional and global totals",,,,***,"Negative accumulation of flows; Value included in regional and global totals"
024,"Angola",True,1940,2102,5,True,True,,38,1998,1,"Inward",False,,1,08,"Flow",False,,1,0.1634607208446355,0,,,,1114000000,0,,,
