Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,Series_Code,Series_Label,Series_Hidden,Series_Note,Series_Order,M5024_Value,M5024_Footnote_Code,M5024_Footnote_Text,M5024_MissingValue_Code,M5024_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2010,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,35421222361.08,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,47.05331130857061,0,,,,16666858026.86,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,02,"Exports",False,,1,2102,"Total trade in services",False,,22,1.6654003179001915,0,,,,856877283.29,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,51451730498.67,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2010,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,98.3345996820998,0,,,,50594853215.38,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,01,"Imports",False,,2,2102,"Total trade in services",False,,22,53.91978192906155,0,,,,23669885103.084,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,43898332404.654,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,46.08021807093844,0,,,,20228447301.57,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,02,"Exports",False,,1,2102,"Total trade in services",False,,22,1.0761785975215643,0,,,,732259285.163651,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,68042543017.49185,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2011,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,98.92382140247844,0,,,,67310283732.3282,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2012,01,"Imports",False,,2,2102,"Total trade in services",False,,22,48.29928149378768,0,,,,22144345920.1945,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2012,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,45848189114.4545,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2012,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,51.70071850621232,0,,,,23703843194.26,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2012,02,"Exports",False,,1,2102,"Total trade in services",False,,22,1.0852573483563566,0,,,,780010051.961354,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2012,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,71873279931.50145,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2012,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,98.91474265164365,0,,,,71093269879.5401,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2013,01,"Imports",False,,2,2102,"Total trade in services",False,,22,46.69093103052847,0,,,,23062085372.0344,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2013,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,49393072408.3344,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2013,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,53.30906896947154,0,,,,26330987036.3,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2013,02,"Exports",False,,1,2102,"Total trade in services",False,,22,1.8914057132694617,0,,,,1315703839.48478,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2013,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,69562221910.09828,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2013,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,98.10859428673055,0,,,,68246518070.6135,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2014,01,"Imports",False,,2,2102,"Total trade in services",False,,22,46.61676826944202,0,,,,24957647236.6093,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2014,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,53537918142.1493,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2014,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,53.38323173055798,0,,,,28580270905.54,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2014,02,"Exports",False,,1,2102,"Total trade in services",False,,22,2.763044770850616,0,,,,1681346774.64513,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2014,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,60851231669.60193,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2014,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,97.23695522914939,0,,,,59169884894.9568,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2015,01,"Imports",False,,2,2102,"Total trade in services",False,,22,45.50115836270338,0,,,,17276227851.2152,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2015,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,37968764912.5352,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2015,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,54.498841637296614,0,,,,20692537061.32,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2015,02,"Exports",False,,1,2102,"Total trade in services",False,,22,3.6476830453407882,0,,,,1256163317.86066,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2015,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,34437293543.50473,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2015,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,96.35231695465922,0,,,,33181130225.64407,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2016,01,"Imports",False,,2,2102,"Total trade in services",False,,22,49.173809601442784,0,,,,12616539042.2615,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2016,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,25657029920.0315,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2016,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,50.8261903985572,0,,,,13040490877.77,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2016,02,"Exports",False,,1,2102,"Total trade in services",False,,22,2.5120070144462368,0,,,,710892137.461013,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2016,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,28299767212.940155,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2016,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,97.48799298555376,0,,,,27588875075.47914,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2017,01,"Imports",False,,2,2102,"Total trade in services",False,,22,48.81509935145333,5,"Estimated",,,13793612000,5,"Estimated",,
024,"Angola",True,1940,2102,5,True,True,,38,2017,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,5,"Estimated",,,28256855323.9856,5,"Estimated",,
024,"Angola",True,1940,2102,5,True,True,,38,2017,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,51.18490064854667,5,"Estimated",,,14463243323.9856,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2017,02,"Exports",False,,1,2102,"Total trade in services",False,,22,2.766102702680894,5,"Estimated",,,984681000,5,"Estimated",,
024,"Angola",True,1940,2102,5,True,True,,38,2017,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,5,"Estimated",,,35598135927.69537,5,"Estimated",,
024,"Angola",True,1940,2102,5,True,True,,38,2017,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,97.2338972973191,5,"Estimated",,,34613454927.69537,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2018,01,"Imports",False,,2,2102,"Total trade in services",False,,22,38.9746577675594,0,,,,10089508253.0586,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2018,01,"Imports",False,,2,2106,"Total trade in goods and services",False,,23,100,0,,,,25887355607.4086,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2018,01,"Imports",False,,2,3503,"Total trade in goods",False,,24,61.02534223244061,0,,,,15797847354.35,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2018,02,"Exports",False,,1,2102,"Total trade in services",False,,22,1.5248645294630212,0,,,,631124522.868452,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2018,02,"Exports",False,,1,2106,"Total trade in goods and services",False,,23,100,0,,,,41388891319.46046,0,,,
024,"Angola",True,1940,2102,5,True,True,,38,2018,02,"Exports",False,,1,3503,"Total trade in goods",False,,24,98.47513547053698,0,,,,40757766796.592,0,,,
