Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1966,01,"Imports",False,,2,0.09467731051165139,0,,,,207000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1966,02,"Exports",False,,1,0.10663989314540959,0,,,,221000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1967,01,"Imports",False,,2,0.120078152743976,0,,,,275000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1967,02,"Exports",False,,1,0.10873626902204833,0,,,,238000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1968,01,"Imports",False,,2,0.11960217405531766,0,,,,303000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1968,02,"Exports",False,,1,0.11151280900105792,0,,,,271000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1969,01,"Imports",False,,2,0.11153994722735787,0,,,,321000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1969,02,"Exports",False,,1,0.11755683139726639,0,,,,326000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1970,01,"Imports",False,,2,0.11121035496863356,0,,,,368000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1970,02,"Exports",False,,1,0.13290367167187989,0,,,,423000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1971,01,"Imports",False,,2,0.12120123076891773,0,,,,445000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1971,02,"Exports",False,,1,0.12822051405624108,0,,,,455000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1972,01,"Imports",False,,2,0.09038519146694234,0,,,,392000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1972,02,"Exports",False,,1,0.11405168850147682,0,,,,479000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1973,01,"Imports",False,,2,0.0970079860303736,0,,,,579000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1973,02,"Exports",False,,1,0.13606288619663476,0,,,,792000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1974,01,"Imports",False,,2,0.0711838048998368,0,,,,614000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1974,02,"Exports",False,,1,0.14263638262909378,0,,,,1202000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1975,01,"Imports",False,,2,0.04703871404075053,0,,,,429000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1975,02,"Exports",False,,1,0.11535382247469753,0,,,,1012000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1976,01,"Imports",False,,2,0.03509814534708354,0,,,,361000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1976,02,"Exports",False,,1,0.06721316152894291,0,,,,668000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1977,01,"Imports",False,,2,0.06138244937177438,0,,,,720000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1977,02,"Exports",False,,1,0.06948174500665576,0,,,,786000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1978,01,"Imports",False,,2,0.06492443568480746,0,,,,885000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1978,02,"Exports",False,,1,0.07385011101067117,0,,,,968000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1979,01,"Imports",False,,2,0.06532938882985485,0,,,,1112000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1979,02,"Exports",False,,1,0.0655480400271379,0,,,,1091000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1980,01,"Imports",False,,2,0.06342924514009095,0,,,,1328000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1980,02,"Exports",False,,1,0.09183026809932604,0,,,,1883000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1981,01,"Imports",False,,2,0.07973303258597951,0,,,,1662000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1981,02,"Exports",False,,1,0.09152845842624395,0,,,,1856000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1982,01,"Imports",False,,2,0.045265454632110964,0,,,,886000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1982,02,"Exports",False,,1,0.08583227974609994,0,,,,1629000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1983,01,"Imports",False,,2,0.05165217140866036,0,,,,983000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1983,02,"Exports",False,,1,0.09806783785849511,0,,,,1822000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1984,01,"Imports",False,,2,0.061928374523011066,0,,,,1256000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1984,02,"Exports",False,,1,0.10329606371267949,0,,,,2033000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1985,01,"Imports",False,,2,0.06904550915822869,0,,,,1401000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1985,02,"Exports",False,,1,0.11420887185321885,0,,,,2245000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1986,01,"Imports",False,,2,0.04901781107211139,0,,,,1086000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1986,02,"Exports",False,,1,0.062200757052917596,0,,,,1332000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1987,01,"Imports",False,,2,0.05024075283933552,0,,,,1303000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1987,02,"Exports",False,,1,0.08601415359445722,0,,,,2168000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1988,01,"Imports",False,,2,0.046073497698796866,0,,,,1372000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1988,02,"Exports",False,,1,0.08751029236773736,0,,,,2516000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1989,01,"Imports",False,,2,0.041588751743628076,0,,,,1338000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1989,02,"Exports",False,,1,0.09716179814231289,0,,,,3015000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1990,01,"Imports",False,,2,0.043636391334023805,0,,,,1578000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1990,02,"Exports",False,,1,0.11181003656650522,0,,,,3910000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1991,01,"Imports",False,,2,0.03696218616486163,0,,,,1347000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1991,02,"Exports",False,,1,0.0969482679453091,0,,,,3410000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1992,01,"Imports",False,,2,0.05076259477776577,0,,,,1988000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1992,02,"Exports",False,,1,0.09914035768293485,0,,,,3755000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1993,01,"Imports",False,,2,0.037992437253446185,0,,,,1463000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1993,02,"Exports",False,,1,0.09945963454183898,0,,,,3762000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1994,01,"Imports",False,,2,0.033135898536957045,0,,,,1454000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1994,02,"Exports",False,,1,0.06983191743873136,0,,,,3018000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1995,01,"Imports",False,,2,0.02800469538064862,0,,,,1468000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1995,02,"Exports",False,,1,0.07035409936581757,0,,,,3642000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1996,01,"Imports",False,,2,0.037113408680472415,0,,,,2040000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1996,02,"Exports",False,,1,0.09415508593400247,0,,,,5095000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1997,01,"Imports",False,,2,0.045677179532773275,0,,,,2597000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1997,02,"Exports",False,,1,0.08941206897470737,0,,,,5006760000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1998,01,"Imports",False,,2,0.03690748537478141,0,,,,2079000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1998,02,"Exports",False,,1,0.06430068462556526,0,,,,3542870000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1999,01,"Imports",False,,2,0.05307463489528319,0,,,,3109000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,1999,02,"Exports",False,,1,0.09010182832677696,0,,,,5156530000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2000,01,"Imports",False,,2,0.04569461008326282,0,,,,3040000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2000,02,"Exports",False,,1,0.12280821246300389,0,,,,7921000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2001,01,"Imports",False,,2,0.04959386296215803,0,,,,3179000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2001,02,"Exports",False,,1,0.10550903138057391,0,,,,6534000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2002,01,"Imports",False,,2,0.05643859598192143,0,,,,3760000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2002,02,"Exports",False,,1,0.12817208306679898,0,,,,8328000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2003,01,"Imports",False,,2,0.07044786597845273,0,,,,5480000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2003,02,"Exports",False,,1,0.12533733979791964,0,,,,9508000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2004,01,"Imports",False,,2,0.06153948467703846,0,,,,5832000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2004,02,"Exports",False,,1,0.14617720980244503,0,,,,13475000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2005,01,"Imports",False,,2,0.07736227928003236,0,,,,8353000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2005,02,"Exports",False,,1,0.22934643278544764,0,,,,24109000000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2006,01,"Imports",False,,2,0.07090249567510294,0,,,,8777600000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2006,02,"Exports",False,,1,0.262543771105176,0,,,,31862200000,0,,,
024,"Angola",True,1940,2102,5,True,True,"Imports FOB.",38,2007,01,"Imports",False,,2,0.09579953466653666,0,,,,13661000000,0,,,
