AnoMes,Valor,ID,Id,Modified,Created,AuthorId,Visualizar,Codigo,ContentTypeId,GUID,EditorId,Attachments,Idioma,odata.type,ServerRedirectedEmbedUrl,FileSystemObjectType,odata.id,odata.editLink,odata.etag,OData__UIVersionString
2016-01,15.2,73,73,2026-02-09T08:34:48Z,2022-01-17T13:31:40Z,1073741823,True,1.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,1cdf9349-4174-4575-b9f6-e4fb4a3ab1e9,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,0c04c523-6d31-400e-b86c-50156bb5430d,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(73),"""4""",1.0
2016-02,18.26,74,74,2023-01-26T09:41:22Z,2022-01-17T13:31:40Z,1073741823,True,2.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,21ff6da3-c657-4383-9083-5a37af06d66a,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,9f740c86-a72a-4b13-9c5d-7486846317bb,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(74),"""2""",1.0
2016-03,21.46,75,75,2023-01-26T09:41:22Z,2022-01-17T13:31:40Z,1073741823,True,3.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,f0766df2-0d8b-4fa8-afb0-4fa82780e5a0,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,ddc5e6c3-6e5b-4bda-974c-13b9f7824486,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(75),"""2""",1.0
2016-04,24.34,76,76,2023-01-26T09:41:23Z,2022-01-17T13:31:41Z,1073741823,True,4.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,dba55184-6be9-4ce8-a17f-71eaaeadc2ad,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,87783c62-2228-4f51-96e7-d871ae4fd33a,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(76),"""2""",1.0
2016-05,27.14,77,77,2023-01-26T09:41:23Z,2022-01-17T13:31:41Z,1073741823,True,5.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,8e910fe5-4138-401a-aaf4-cf8cb676612f,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,909d8f30-b321-411d-939f-7842f88ba9cc,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(77),"""2""",1.0
2016-06,29.72,78,78,2023-01-26T09:41:23Z,2022-01-17T13:31:41Z,1073741823,True,6.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,616e018d-3eda-493a-ab39-aa250e5750ad,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,04925946-61db-427a-a7c3-1957b44c43b0,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(78),"""2""",1.0
2016-07,33.72,79,79,2023-01-26T09:41:23Z,2022-01-17T13:31:41Z,1073741823,True,7.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,0e6b4522-9462-4fe5-90a1-8d5403b5fe62,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,57391e3f-d543-41ab-8216-4cf3105d2b52,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(79),"""2""",1.0
2016-08,36.77,80,80,2023-01-26T09:41:23Z,2022-01-17T13:31:42Z,1073741823,True,8.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,6ed827b6-ccc4-4560-bd98-7df13dabac1f,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,a97963bc-f354-490f-9044-666295202cd9,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(80),"""2""",1.0
2016-09,38.2,81,81,2023-01-26T09:41:23Z,2022-01-17T13:31:42Z,1073741823,True,9.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,e0f8464f-138c-4ed2-8ae4-f772fc798b7c,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,e23e6ee2-2042-4a80-b5c5-400be4034743,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(81),"""2""",1.0
2016-10,38.69,82,82,2023-01-26T09:41:23Z,2022-01-17T13:31:42Z,1073741823,True,10.0,0x0100E253B8E39EF94A4280EF78BEFF3D88FA,ec6f8e56-0be9-4c81-bcc0-93f91cb0322f,1073741823,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_NacionalListItem,,0,0b3df4e8-0a36-4eeb-97ed-87bb18effc4e,Web/Lists(guid'1829c7ed-b4ce-4009-b07b-3b072320581d')/Items(82),"""2""",1.0
