AnoMes,Valor,ID,Id,Modified,Created,AuthorId,Visualizar,ContentTypeId,GUID,EditorId,Attachments,Idioma,odata.type,ServerRedirectedEmbedUrl,FileSystemObjectType,odata.id,odata.editLink,odata.etag,OData__UIVersionString,Codigo
2022-09,17.65,732,732,2022-10-13T07:41:52Z,2022-10-13T07:41:52Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,9b624b41-de69-4bdd-b828-cb80ffe21eb2,26,False,,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,05da7bc8-1a45-4d89-b9f5-4bbbe5ef337d,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(732),"""1""",1.0,
2022-10,16.08,733,733,2022-11-14T08:05:54Z,2022-11-14T08:05:54Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,53a554fb-cfbd-4cf5-869d-29c1373830e9,26,False,,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,a082efab-d0a9-4619-911e-75f1eb4ce12e,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(733),"""1""",1.0,
2022-11,14.6,734,734,2022-12-13T07:37:35Z,2022-12-13T07:37:35Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,5ee556d5-7661-4517-a840-adacfd49f59d,26,False,,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,25f4d572-1fca-45b7-b79b-44e3eb3fcbb6,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(734),"""1""",1.0,
2022-12,13.14,735,735,2023-01-13T07:54:26Z,2023-01-13T07:54:26Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,828730d6-a225-4f18-ac7f-063ee2e8e534,26,False,,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,ac6cfabe-e664-475d-8fa8-a251a621394f,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(735),"""1""",1.0,
2023-01,11.82,736,736,2023-03-14T07:38:32Z,2023-03-14T07:38:32Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,ecf17a40-ac1e-4354-8efc-ab11529e6d30,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,26987830-ad5e-4800-af0b-ef7b48dff70d,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(736),"""1""",1.0,
2023-02,10.89,737,737,2023-03-14T07:38:54Z,2023-03-14T07:38:54Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,56d6042f-6a69-49db-ae82-80b072a109c3,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,66c523bd-1838-4e0a-964f-9a3bdcb31e10,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(737),"""1""",1.0,
2023-03,10.14,738,738,2023-04-13T12:20:47Z,2023-04-13T12:20:47Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,2961093b-58a1-4ecd-a447-0af551cbbb0d,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,3d88a0af-4cc8-4c98-be1c-46e7652eb62d,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(738),"""1""",1.0,
2023-04,10.1,739,739,2023-05-15T08:17:08Z,2023-05-15T08:17:08Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,df7bf11e-203d-41db-b937-f6cff1c25bec,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,461b7567-664e-427b-808d-73cbfffc89b5,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(739),"""1""",1.0,
2023-05,10.33,740,740,2023-06-13T08:20:51Z,2023-06-13T08:20:51Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,c650fd3e-d73c-43ad-a231-46d9d01cee66,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,eb7b0c8e-baf2-4816-810d-941fc959ca98,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(740),"""1""",1.0,
2023-06,11.36,741,741,2023-07-13T07:44:35Z,2023-07-13T07:44:35Z,26,True,0x0100814E3399ADD47C45AD21546726ADFCB8,e3d78fc8-1f27-4f9e-b4c5-f81b68bdb806,26,False,Português,SP.Data.Inflao_x0020_Homloga_x0020__x0020_LuandaListItem,,0,9c69a6c5-d5ed-4257-b192-7245f80b0a36,Web/Lists(guid'216dfcdb-6adb-4d61-8bbf-2eb047f3f6af')/Items(741),"""1""",1.0,
