area,site_folder,periodicity,filename,extension,size_bytes,site_filepath,source_page,local_path
Economia e Finanças,Economia e Finanças/Índice de Preços Grossista,Mensal,IPG_Indice Global por Origem2014 (1).xlsx,xlsx,72681,Economia e Finanças/Índice de Preços Grossista/IPG_Indice Global por Origem2014 (1).xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_WgDGLfb28lkJV6lqrQZAfTM6exzNqTqHRkMGK3Xa2MOHE9JxlfXShkofvEnKJZVjFDklqTy6qSWeaCQcwefYDTIJGvWJqSYkRl786Sl0bZwx74oweWRO9AUOV8XuuvbSJxD-8GjauK30F3uOYmayAOXlnQFjaNouyaGqLyedOwQ,INE\Economia e Finanças\Índice de Preços Grossista\IPG_Indice Global por Origem2014 (1).xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços Grossista,Mensal,IPG_Indice Global por Origem2025 (1).xlsx,xlsx,74234,Economia e Finanças/Índice de Preços Grossista/IPG_Indice Global por Origem2025 (1).xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_WgDGLfb28lkJV6lqrQZAfTM6exzNqTqHRkMGK3Xa2MOHE9JxlfXShkofvEnKJZVjFDklqTy6qSWeaCQcwefYDTIJGvWJqSYkRl786Sl0bZwx74oweWRO9AUOV8XuuvbSJxD-8GjauK30F3uOYmayAOXlnQFjaNouyaGqLyedOwQ,INE\Economia e Finanças\Índice de Preços Grossista\IPG_Indice Global por Origem2025 (1).xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços Grossista,Mensal,IPG_Serie_subclasse_Origem2014.xlsx,xlsx,620258,Economia e Finanças/Índice de Preços Grossista/IPG_Serie_subclasse_Origem2014.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_WgDGLfb28lkJV6lqrQZAfTM6exzNqTqHRkMGK3Xa2MOHE9JxlfXShkofvEnKJZVjFDklqTy6qSWeaCQcwefYDTIJGvWJqSYkRl786Sl0bZwx74oweWRO9AUOV8XuuvbSJxD-8GjauK30F3uOYmayAOXlnQFjaNouyaGqLyedOwQ,INE\Economia e Finanças\Índice de Preços Grossista\IPG_Serie_subclasse_Origem2014.xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços Grossista,Mensal,IPG_Serie_subclasse_Origem2025 (1).xlsx,xlsx,600613,Economia e Finanças/Índice de Preços Grossista/IPG_Serie_subclasse_Origem2025 (1).xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_WgDGLfb28lkJV6lqrQZAfTM6exzNqTqHRkMGK3Xa2MOHE9JxlfXShkofvEnKJZVjFDklqTy6qSWeaCQcwefYDTIJGvWJqSYkRl786Sl0bZwx74oweWRO9AUOV8XuuvbSJxD-8GjauK30F3uOYmayAOXlnQFjaNouyaGqLyedOwQ,INE\Economia e Finanças\Índice de Preços Grossista\IPG_Serie_subclasse_Origem2025 (1).xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços de Bens de Exportação e Importação,Mensal,IPEI - Contribuições.xlsx,xlsx,75937,Economia e Finanças/Índice de Preços de Bens de Exportação e Importação/IPEI - Contribuições.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ--Zj4slj_4hND7MKsnh8Ud9d9gDyXETNRcQliWWHdmJtU8jDaRd2dvJLsEVOIWWPEegyyNSj61fpIq1O9fc2GRLCZgDSFSCLXkSJ4b_mDXy_G-YKGJ3Hby06RiWQ6hFMRnLSNdfS6mQ9L3U3NqnrYQJMkFH-3pJZODkMKr_IMZtwUz10Ia9G1pnYPgc8bNZJg,INE\Economia e Finanças\Índice de Preços de Bens de Exportação e Importação\IPEI - Contribuições.xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços de Bens de Exportação e Importação,Mensal,IPEI - Termos de Troca.xlsx,xlsx,17301,Economia e Finanças/Índice de Preços de Bens de Exportação e Importação/IPEI - Termos de Troca.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ--Zj4slj_4hND7MKsnh8Ud9d9gDyXETNRcQliWWHdmJtU8jDaRd2dvJLsEVOIWWPEegyyNSj61fpIq1O9fc2GRLCZgDSFSCLXkSJ4b_mDXy_G-YKGJ3Hby06RiWQ6hFMRnLSNdfS6mQ9L3U3NqnrYQJMkFH-3pJZODkMKr_IMZtwUz10Ia9G1pnYPgc8bNZJg,INE\Economia e Finanças\Índice de Preços de Bens de Exportação e Importação\IPEI - Termos de Troca.xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços de Bens de Exportação e Importação,Mensal,IPEI - Índices.xlsx,xlsx,71944,Economia e Finanças/Índice de Preços de Bens de Exportação e Importação/IPEI - Índices.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ--Zj4slj_4hND7MKsnh8Ud9d9gDyXETNRcQliWWHdmJtU8jDaRd2dvJLsEVOIWWPEegyyNSj61fpIq1O9fc2GRLCZgDSFSCLXkSJ4b_mDXy_G-YKGJ3Hby06RiWQ6hFMRnLSNdfS6mQ9L3U3NqnrYQJMkFH-3pJZODkMKr_IMZtwUz10Ia9G1pnYPgc8bNZJg,INE\Economia e Finanças\Índice de Preços de Bens de Exportação e Importação\IPEI - Índices.xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços de Materiais de Construção,Mensal,INDICE DE PREÇOS DE MATERIAL DE CONSTRUÇÃO (3) (2).xlsx,xlsx,124182,Economia e Finanças/Índice de Preços de Materiais de Construção/INDICE DE PREÇOS DE MATERIAL DE CONSTRUÇÃO (3) (2).xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ8hFwGOcEtur9eQOp2C9hsRk8_kMhoBhbutCJYpCNkmWOEY1MLAUGhAyJ8Ge8h9MCoyfE6CL6Y1bC4Z311LSYrRextkRIsmOzK1aq8KgYT4S5JK1Rrb5FMbnsYTKYoS5Ovt8WKSb1GlMUwJTyV9YQ5AZPRQItnZRoxwNc-cToMLG6HjLVSF3hbH6N4yxur4Sok,INE\Economia e Finanças\Índice de Preços de Materiais de Construção\INDICE DE PREÇOS DE MATERIAL DE CONSTRUÇÃO (3) (2).xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços no Consumidor Nacional,Mensal,IPCN_VARIAÇÃO MENSAL ACUMULADA HOMOLÓGA POR PROVINCIA (7) (4) (4) (3).xlsx,xlsx,345825,Economia e Finanças/Índice de Preços no Consumidor Nacional/IPCN_VARIAÇÃO MENSAL ACUMULADA HOMOLÓGA POR PROVINCIA (7) (4) (4) (3).xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_YBXA44kZADg1-cEgQeIZEVQqrm3pot2prFhtVzAliq9TjvVa57o7Jz1J9_7YicJswas6YxRzKa4jv2mLtcQyiUfCYVByvwYBEIvOy7RQO9jpDFgk_ICeGmNUmVWKsVPp1H5V3vp_SskxH-N2VUaFclFvVkBE8mgfSIvP8gTg2sw,INE\Economia e Finanças\Índice de Preços no Consumidor Nacional\IPCN_VARIAÇÃO MENSAL ACUMULADA HOMOLÓGA POR PROVINCIA (7) (4) (4) (3).xlsx
Economia e Finanças,Economia e Finanças/Índice de Preços no Consumidor Nacional,Mensal,"IPCN_ÍNDICE, VARIAÇÃO, CONTRIBUIÇÃO DAS CLASSES DE DESPESAS POR PROVÍNCIA (4) (1).xlsx",xlsx,1604058,"Economia e Finanças/Índice de Preços no Consumidor Nacional/IPCN_ÍNDICE, VARIAÇÃO, CONTRIBUIÇÃO DAS CLASSES DE DESPESAS POR PROVÍNCIA (4) (1).xlsx",https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ_YBXA44kZADg1-cEgQeIZEVQqrm3pot2prFhtVzAliq9TjvVa57o7Jz1J9_7YicJswas6YxRzKa4jv2mLtcQyiUfCYVByvwYBEIvOy7RQO9jpDFgk_ICeGmNUmVWKsVPp1H5V3vp_SskxH-N2VUaFclFvVkBE8mgfSIvP8gTg2sw,"INE\Economia e Finanças\Índice de Preços no Consumidor Nacional\IPCN_ÍNDICE, VARIAÇÃO, CONTRIBUIÇÃO DAS CLASSES DE DESPESAS POR PROVÍNCIA (4) (1).xlsx"
