ID,Domínio,Indicador,Unidade,Direcção,Método,M_2022,M_2023,M_2024,M_2025,M_2026,M_2027,Origem_Meta_2027
IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_sedes_municipais_com_distribuicao_de_energia_pela_ende,"Infraestruturas, Habitação e Serviços Comunitários",Número de sedes municipais com distribuição de energia pela ENDE,N.º,Maior é melhor,Geométrica (CAGR),90.0,91.6367211643441,93.30320739724165,95.0,96.72765011791876,98.48671891931063,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-infraestruturas_habitacao_e_servicos_comunitarios-de_producao_total_de_energia_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",% de produção total de energia de fontes renováveis,%,Maior é melhor,Linear,65.0,66.0,67.0,68.0,70.5,73.0,Meta PDN 2027 publicada (p. 104)
IMP-infraestruturas_habitacao_e_servicos_comunitarios-potencia_instalada_proveniente_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",Potência instalada proveniente de fontes renováveis,GW,Maior é melhor,Geométrica (CAGR),4.0,4.0,4.0,4.0,4.0,4.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027
IMP-infraestruturas_habitacao_e_servicos_comunitarios-quantidade_de_agua_tratada_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Quantidade de água tratada (cumulativo),Mm³/d,Maior é melhor,Linear,1320.0,1423.3333333333333,1526.6666666666667,1630.0,1733.3333333333333,1836.6666666666665,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-fomento_a_producao-toneladas_de_carne_produzidas,Fomento à Produção,Toneladas de carne produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),319962.0,378923.4108651688,448750.0118817032,531444.0,647130.4907049272,788000.0,Meta PDN 2027 publicada (p. 138): 788 mil t convertidas para toneladas
IMP-fomento_a_producao-toneladas_de_raizes_e_tuberculos_produzidas,Fomento à Produção,Toneladas de raízes e tubérculos produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),12922711.0,14245504.301119246,15703701.242967278,17311162.0,19083165.50051859,21036554.653014213,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-fomento_a_producao-toneladas_de_fruta_produzidas,Fomento à Produção,Toneladas de fruta produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),6079785.0,6620795.7549308725,7209948.448589984,7851527.0,8550196.533483524,9311037.300284859,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-fomento_a_producao-toneladas_de_cereais_produzidas,Fomento à Produção,Toneladas de cereais produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),3187951.0,4314638.079794705,5839519.41532807,7903325.0,10696521.68492975,14476891.201636324,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-fomento_a_producao-toneladas_de_horticolas_produzidas,Fomento à Produção,Toneladas de hortícolas produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),1975867.0,2100383.0311067076,2232745.866680804,2373450.0,2523021.0865307306,2682017.9077202836,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-fomento_a_producao-ovos_produzidos,Fomento à Produção,Ovos produzidos,Milhões,Maior é melhor,Geométrica (CAGR),2694.0,2786.457261538693,2882.0876282040495,2981.0,3083.3070143455243,3189.1251743416,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-fomento_a_producao-litros_de_leite_produzidos,Fomento à Produção,Litros de leite produzidos,Milhões de Litros,Maior é melhor,Geométrica (CAGR),6.0,7.559526299369239,9.524406311809196,12.0,15.119052598738477,19.048812623618396,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-fomento_a_producao-unidades_industriais_no_subsector_da_industria_pesqueira_e_de_transformacao_de_carne_instaladas_cumulativo,Fomento à Produção,Unidades industriais no subsector da indústria pesqueira e de transformação de carne instaladas (cumulativo),N.º,Maior é melhor,Linear,9.0,16.0,23.0,30.0,37.0,44.0,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-fomento_a_producao-toneladas_de_peixe_de_captura_industrial_e_semi_industrial_produzidas,Fomento à Produção,Toneladas de peixe de captura industrial e semi-industrial produzidas,Milhares de Toneladas,Maior é melhor,Geométrica (CAGR),335.0,342.17841482519634,349.5106494695048,357.0,364.6498331122241,372.4635876436215,Derivada: extensão geométrica da trajectória planeada 2022-2025
IMP-economico-taxa_de_crescimento_do_pib,Económico,Taxa de crescimento do PIB,%,Maior é melhor,Linear,4.0,3.6666666666666665,3.3333333333333335,3.0,3.0,3.0,Trajectória média PDN 2023-2027 (p. 13); não é meta anual específica
IMP-economico-taxa_de_crescimento_do_pib_nao_petrolifero,Económico,Taxa de crescimento do PIB não petrolífero,%,Maior é melhor,Linear,4.0,4.666666666666667,5.333333333333333,6.0,5.3,4.6,Trajectória média PDN 2023-2027 (p. 13); não é meta anual específica
IMP-economico-taxa_de_inflacao,Económico,Taxa de inflação,%,Menor é melhor,Linear,14.0,15.333333333333334,16.666666666666668,18.0,18.0,18.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027
IMP-economico-taxa_de_desemprego,Económico,Taxa de Desemprego,%,Menor é melhor,Linear,30.0,28.333333333333332,26.666666666666668,25.0,25.0,25.0,Meta PDN 2027 publicada (p. 13)
