Designation,Pol.,Programmes,Objectives,Priorities,Monitored Indicators
"Axis 1 . Consolidar a paz e o Estado democrático de direito, prosseguir a reforma do Estado, da justiça, da administração pública, da comunicação social e da liberdade de expressão e da sociedade civil",1,7,22,32,30
Axis 2 . Promover o desenvolvimento equilibrado e harmonioso do território,1,4,4,6,20
"Axis 3 . Promover o desenvolvimento do capital humano, ampliando o acesso aos serviços de saúde, ao conhecimento e habilidades técnicas e científicas, promover a cultura e o desporto e estimular o empreendedorismo e a inovação",4,9,34,54,102
"Axis 4 . Reduzir as desigualdades sociais, erradicando a fome e a pobreza extrema, promovendo a igualdade do género e solucionando os desafios multidimensionais e transversais à elevação da qualidade de vida das populações",1,4,10,19,25
Axis 5 . Modernizar e tornar mais eficientes as infraestruturas do País e preservar o ambiente,5,8,35,56,72
"Axis 6 . Assegurar a diversificação económica sustentável, inclusiva e liderada pelo sector privado, e a segurança alimentar",2,11,46,80,105
"Axis 7 . Assegurar a defesa da soberania, da integridade e da segurança nacional e promover a imagem e o papel de Angola no contexto regional e internacional",2,7,20,37,44
Total,16,50,171,284,398
