Nível,ID,Domínio,Nome,A_2023,A_2024,A_2025,A_2025_sem_tecto,A_2025_vs_MetaMINPLAN
Indicador,IMP-infraestruturas_habitacao_e_servicos_comunitarios-taxa_de_electrificacao,"Infraestruturas, Habitação e Serviços Comunitários",Taxa de electrificação,96.99248120300751,96.35036496350365,100.0,102.12765957446808,102.12765957446808
Indicador,IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_ligacoes_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Número de ligações (cumulativo),85.71428571428571,75.0,66.66666666666666,66.66666666666666,66.66666666666666
Indicador,IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_sedes_municipais_com_distribuicao_de_energia_pela_ende,"Infraestruturas, Habitação e Serviços Comunitários",Número de sedes municipais com distribuição de energia pela ENDE,98.21390252341226,98.60325552186733,100.0,101.05263157894737,101.05263157894737
Indicador,IMP-infraestruturas_habitacao_e_servicos_comunitarios-de_producao_total_de_energia_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",% de produção total de energia de fontes renováveis,98.48484848484848,98.50746268656717,97.05882352941177,97.05882352941177,97.05882352941177
Indicador,IMP-infraestruturas_habitacao_e_servicos_comunitarios-potencia_instalada_proveniente_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",Potência instalada proveniente de fontes renováveis,100.0,100.0,100.0,100.0,100.0
Indicador,IMP-infraestruturas_habitacao_e_servicos_comunitarios-quantidade_de_agua_tratada_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Quantidade de água tratada (cumulativo),93.02107728337236,86.79039301310043,81.28834355828221,81.28834355828221,81.28834355828221
Indicador,IMP-fomento_a_producao-toneladas_de_carne_produzidas,Fomento à Produção,Toneladas de carne produzidas,90.2406634679198,74.25916237921932,67.30116437479772,67.30116437479772,67.30116437479772
Indicador,IMP-fomento_a_producao-toneladas_de_raizes_e_tuberculos_produzidas,Fomento à Produção,Toneladas de raízes e tubérculos produzidas,96.47937138259233,92.85935063576518,93.18743016788821,93.18743016788821,93.18743016788821
Indicador,IMP-fomento_a_producao-toneladas_de_fruta_produzidas,Fomento à Produção,Toneladas de fruta produzidas,97.99074371337012,95.65251470485501,92.69815922431394,92.69815922431394,92.69815922431394
Indicador,IMP-fomento_a_producao-toneladas_de_cereais_produzidas,Fomento à Produção,Toneladas de cereais produzidas,77.80805569119104,60.30694907454386,47.624866749121416,47.624866749121416,47.624866749121416
Indicador,IMP-fomento_a_producao-toneladas_de_horticolas_produzidas,Fomento à Produção,Toneladas de hortícolas produzidas,100.0,100.0,100.0,107.53283195348544,107.53283195348544
Indicador,IMP-fomento_a_producao-ovos_produzidos,Fomento à Produção,Ovos produzidos,99.0863932531793,84.03630674856511,85.37403555853741,85.37403555853741,85.37403555853741
Indicador,IMP-fomento_a_producao-litros_de_leite_produzidos,Fomento à Produção,Litros de leite produzidos,79.37005259840998,62.99605249474366,50.0,50.0,50.0
Indicador,IMP-fomento_a_producao-unidades_industriais_no_subsector_da_industria_pesqueira_e_de_transformacao_de_carne_instaladas_cumulativo,Fomento à Produção,Unidades industriais no subsector da indústria pesqueira e de transformação de carne instaladas (cumulativo),100.0,100.0,100.0,310.0,310.0
Indicador,IMP-fomento_a_producao-toneladas_de_peixe_de_captura_industrial_e_semi_industrial_produzidas,Fomento à Produção,Toneladas de peixe de captura industrial e semi-industrial produzidas,100.0,100.0,76.47058823529412,76.47058823529412,76.47058823529412
Indicador,IMP-economico-taxa_de_crescimento_do_pib,Económico,Taxa de crescimento do PIB,27.272727272727277,100.0,100.0,100.0,100.0
Indicador,IMP-economico-taxa_de_crescimento_do_pib_nao_petrolifero,Económico,Taxa de crescimento do PIB não petrolífero,42.857142857142854,93.75,83.33333333333334,83.33333333333334,83.33333333333334
Indicador,IMP-economico-taxa_de_inflacao,Económico,Taxa de inflação,76.66666666666667,59.523809523809526,100.0,112.5,112.5
Indicador,IMP-economico-taxa_de_desemprego,Económico,Taxa de Desemprego,94.44444444444444,88.8888888888889,92.93680297397769,92.93680297397769,92.93680297397769
Domínio,,Saúde,Saúde,97.317947646895,94.10686088931168,92.97422090421935,,
Domínio,,Protecção Social,Protecção Social,76.45417278487672,75.03805869533589,71.45244107744108,,
Domínio,,Comunicação,Comunicação,98.52941176470588,96.28146453089244,99.36708860759494,,
Domínio,,Educação e Formação Profissional,Educação e Formação Profissional,95.69656513036797,91.62416197492824,89.15784277976519,,
Domínio,,"Infraestruturas, Habitação e Serviços Comunitários","Infraestruturas, Habitação e Serviços Comunitários",87.72749844917301,83.38311184161621,80.94415646041715,,
Domínio,,Fomento à Produção,Fomento à Produção,93.44169778962917,85.56781511529913,79.18402714555032,,
Domínio,,Económico,Económico,60.310245310245314,85.54067460317461,94.06753407682776,,
Global,,,Índice de execução percentual (média dos domínios),87.06821983941329,87.36316395007974,86.7353301502594,,
