KPI,Valor,Unidade,Descrição,Fonte URL
Actions,696,N.º,"Actions initiated, in progress and completed...",https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Priorities,194,N.º,...68.31...% of planned priorities that...,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Objectives,134,N.º,...are framed within the objectives defined in the Plan...,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Programmes,50,N.º,under the Action Programmes,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Indicadores >100%,85,N.º,Distribuição dos 398 indicadores monitorizados.,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Indicadores 50–100%,155,N.º,Distribuição dos 398 indicadores monitorizados.,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Indicadores <50%,119,N.º,Distribuição dos 398 indicadores monitorizados.,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Indicadores sem execução,39,N.º,Distribuição dos 398 indicadores monitorizados.,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Prioridades com implementação reportada,194,N.º de 284 planeadas,68.31% das prioridades planeadas.,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
